rating,reviews,sentiment,Subjectivity,Polarity,Analysis,target
4.0,best quality & value moneysound quality superb noise cancellation extremely well bass quality need improve ment.,0.43125,0.7,0.43125,Positive,2
4.0,great sound qualityoverall great thing thats poor range even half meter! rest good,0.34861111111111115,0.5444444444444444,0.34861111111111115,Positive,2
4.0,good one price rangegood battery backup,0.7,0.6000000000000001,0.7,Positive,2
4.0,atifgood,0.0,0.0,0.0,Neutral,1
4.0,value moneyit's good headphone compared price. previously i used sony headphone bit expensive. but i surly say headphone give satisfactory quality.,0.011111111111111108,0.48888888888888893,0.011111111111111108,Positive,2
4.0,good headsetlike color bass,0.27499999999999997,0.55,0.27499999999999997,Positive,2
4.0,good year use cousin covering get torn timebuild quality good enough cousin cover get torn use fit get loose battery life decent,0.31495726495726495,0.505982905982906,0.31495726495726495,Positive,2
4.0,goodlike,0.0,0.0,0.0,Neutral,1
4.0,goodliked,0.0,0.0,0.0,Neutral,1
4.0,nice productear fitting pain getting placed ear,0.55,0.75,0.55,Positive,2
4.0,nice good,0.6499999999999999,0.8,0.6499999999999999,Positive,2
4.0,it's much comfortable audio wise bestin audio wise good comfortable slip ur head sometimes noise cancellation dolby atmos everything.,0.58,0.8,0.58,Positive,2
3.0,sound good uncomfortable long usecons -the bass quality ok..not good like previous headphone brand price range..and build quality also average made plastic..and painfull ear wear long time.. your ear can even swell.pros -sound quality good per price range...bass also ok long time use...no connectivity issues...connects perfect aux cable pc.battery backup awsm..it charge quickly.,0.2411111111111111,0.5244444444444445,0.2411111111111111,Positive,2
4.0,"great casual listening.you get pay for. the sound quality bass top notch, pretty good casual use.the main problem little tight, even smaller face.",0.10838293650793647,0.5918650793650794,0.10838293650793647,Positive,2
4.0,oknot bad,-0.6999999999999998,0.6666666666666666,-0.6999999999999998,Negative,0
4.0,it's nice productnice product,0.6,1.0,0.6,Positive,2
4.0,good productin price good product. satisfy,0.7,0.6000000000000001,0.7,Positive,2
4.0,not bedgood,0.0,0.0,0.0,Neutral,1
4.0,goodgood,0.0,0.0,0.0,Neutral,1
4.0,good 1000 budgetthing good sound awesomebut quality plastic somewhat cheap. comfort also good as ear,0.5799999999999998,0.58,0.5799999999999998,Positive,2
4.0,worth buying 899i received product scratch clearly see pictures.overall good quality build better sound quality justifies price.,0.4,0.39666666666666667,0.4,Positive,2
4.0,rockrez 370more 1 month used superb battery backup. sound quality moderate,0.4666666666666666,0.6999999999999998,0.4666666666666666,Positive,2
4.0,good productmic & bass good.,0.4166666666666667,0.5666666666666668,0.4166666666666667,Positive,2
4.0,nice much priceworth expect much,0.3333333333333333,0.4666666666666666,0.3333333333333333,Positive,2
4.0,"too heavy ear using form 3monthsto havey,started paining ear log use",-0.2,0.5,-0.2,Negative,0
4.0,soundgood,0.0,0.0,0.0,Neutral,1
4.0,goodgood,0.0,0.0,0.0,Neutral,1
4.0,nice productnice product,0.6,1.0,0.6,Positive,2
4.0,i like sound itthe medium could loaded. the sound threat correct,0.4,0.4,0.4,Positive,2
4.0,"handphone good.sound quality good, noise cancellation work becouse handphone cup small, bass quality good...",0.24999999999999997,0.525,0.24999999999999997,Positive,2
4.0,"decent oneear muff soft, feeling pain wearing",0.13333333333333333,0.5083333333333333,0.13333333333333333,Positive,2
4.0,good quality lowest pricegood quality price compare one. but it's quality can't compare sony jbl. bass quality improved. one thing i trying connect samsung led tv bt can't. i think drawback headphone.,0.27499999999999997,0.55,0.27499999999999997,Positive,2
4.0,"amazing performancequality awesome, best price, good stuff",0.825,0.7,0.825,Positive,2
4.0,"average product comfortablethis headphone good battery backup, good range, good sound music listener like bass headphone bass would get earphone. and uncomfortable ear wear long time, clamping force high suggest buy comfortable ear padding replace it.",0.18727272727272729,0.5763636363636363,0.18727272727272729,Positive,2
4.0,best productthe medium could loaded.,1.0,0.3,1.0,Positive,2
4.0,worth buy price rangesound quality good compare price. light weight product. super battery back up... overall good product,0.3476190476190476,0.38095238095238093,0.3476190476190476,Positive,2
3.0,good purpose listening music audio recommend office conferencegood purpose listening music audio recommend office conference,0.7,0.6000000000000001,0.7,Positive,2
4.0,"goodsound quality good,nice performance i like",0.0,0.0,0.0,Neutral,1
4.0,everything is good.everything is good but some scratch on headphone's body and main boxes. so that's why i return this and i want to new headphone,0.33434343434343433,0.46262626262626266,0.33434343434343433,Positive,2
3.0,one ear workingonly one side work side work fluctuate,0.0,0.0,0.0,Neutral,1
3.0,overall good compairing money.good keep ear long. too much painful uncomfortable.,-0.11000000000000001,0.58,-0.11000000000000001,Negative,0
4.0,great online meetingsgreat online meeting good little binge watching rupee 750 bought,0.4375,0.6166666666666667,0.4375,Positive,2
4.0,sound qualitysound quality good... compare price noice md bass good,0.4125,0.525,0.4125,Positive,2
4.0,"true thing headphone:-everything best headphones, yes build quality could improve lot.otherwise sound quality,bass quality,noise cancellation great price range.",0.6375,0.525,0.6375,Positive,2
4.0,"boat rockerz 370 reviewthe product good build quality average. at price range, build quality expected.sound quality also good i experienced noise cancellation.we can't wear headphone 1.5hours. it start paining 1.5-2hours.",0.5125,0.625,0.5125,Positive,2
3.0,okok,0.0,0.0,0.0,Neutral,1
3.0,"good sound quality, mic good (not suggested office calls)1) the quality sound good, battery go longer.2) mic good, person cannot hear,3) feel bit tightness head.my old jbl 460t far better here, issues. so buy again.good want hear music, good office calls.",0.5000000000000001,0.55,0.5000000000000001,Positive,2
5.0,voice separation quality song goodsuperb battery performance good sound quality nice bass base voice separation must update perform good,0.2416666666666667,0.6833333333333332,0.2416666666666667,Positive,2
3.0,"value money comfortablesound quality, bluetooth connectivity bass quality good. it light weight. battery life also great.the thing i like product comfortable. the use get loose slip ear plastic body.",0.25461538461538463,0.5738461538461539,0.25461538461538463,Positive,2
4.0,"good moneybass quality great, good pick price. even charge standing long hours...",0.5375000000000001,0.5875,0.5375000000000001,Positive,2
4.0,"good price....looks good, bass ok, much comfort sound good. microphone calling good. 4 star rating looks, sound price.",0.46111111111111114,0.48888888888888893,0.46111111111111114,Positive,2
3.0,return product replace headphone getting automatically turn offreturn product replace headphone getting automatically turn,0.0,0.0,0.0,Neutral,1
4.0,"good one low price.this product overall good. because price, good bass also.",0.32499999999999996,0.4333333333333334,0.32499999999999996,Positive,2
4.0,good price....total plastic material...,0.7,0.6000000000000001,0.7,Positive,2
4.0,it nice product comfortable 30 45 min ear start hurting.i like product comfortable.,0.4666666666666666,0.8666666666666667,0.4666666666666666,Positive,2
3.0,about headphoneeverything nice headphone connected listen anything 1 minute get disconnected,0.6,1.0,0.6,Positive,2
5.0,"best segmentthis headphone made music expect use gaming(because high latency cannot used gaming) best thing headphone look music(a complete bass vocal feel). these regularly used long period time(like 3-4 hrs). and last thing battery, completly charge 2hrs 30mins used 11hrs🤯",0.25750000000000006,0.322948717948718,0.25750000000000006,Positive,2
4.0,good product price rangegood product price range,0.7,0.6000000000000001,0.7,Positive,2
3.0,goodgood,0.0,0.0,0.0,Neutral,1
4.0,average product tbhlove lightweight ..it doesnt feel like actually wearing headphone...the main problem u wear long time ear hurt outside great loved,0.20952380952380953,0.4047619047619047,0.20952380952380953,Positive,2
5.0,secret santa giftthe headphone secret santa gift i hope person like i personally like boat headphone yeah,-0.26666666666666666,0.5666666666666667,-0.26666666666666666,Negative,0
5.0,good moneywell sound quality superb price bass loud hurt ear buzz high volume . ear pad comfortable soft wear long time . battery life charging i say tested . only draw back build quality good feel like cheap plastic also non folding travel either wear neck buy case,0.28923076923076924,0.5915384615384616,0.28923076923076924,Positive,2
3.0,bluetooth connectivity poorbluetooth connectivity poor,-0.4,0.6,-0.4,Negative,0
3.0,battery charging issuebattery drain fast . good asthetic appeal . asked green option send black . any way it’s ok . not fancy work fine . over rating 3 5,0.24166666666666667,0.48888888888888893,0.24166666666666667,Positive,2
3.0,mike uselessmike useless,-0.5,0.2,-0.5,Negative,0
3.0,in budget. it's good product.,0.7,0.6000000000000001,0.7,Positive,2
4.0,"budget productonly issue charging, light indicator working.",0.4,0.7,0.4,Positive,2
5.0,ok really good quality sound ok bass awesome i like bass i like sound quality,0.4,0.55,0.4,Positive,2
3.0,within month broke automaticallybuild quality bad,-0.6999999999999998,0.6666666666666666,-0.6999999999999998,Negative,0
4.0,goodcomfort,0.0,0.0,0.0,Neutral,1
4.0,comfort much goodit tight ears.,0.010714285714285718,0.24285714285714285,0.010714285714285718,Positive,2
4.0,nicegood,0.0,0.0,0.0,Neutral,1
5.0,"sound quality greatthis good product sound quality superb. once charged, battery stay long.",0.49000000000000005,0.5599999999999999,0.49000000000000005,Positive,2
5.0,good sound qualitygood product,0.55,0.5,0.55,Positive,2
4.0,quality product goodgood product. bass quality nice. sound clarity good.,0.38749999999999996,0.625,0.38749999999999996,Positive,2
4.0,"good budget productit's decent budget product boat.this surely look premium ny esthetics.cushion pad soft comfortable.extension available per size.while, really enoy bass this.it's amazing soft songs, like prateet kuhad, relax couch.but maybe like travelling crowded market so.charging long lasting.packaging good, make great gift option, maybe little cousins.",0.29839743589743595,0.5465811965811966,0.29839743589743595,Positive,2
4.0,mzok,0.0,0.0,0.0,Neutral,1
3.0,speaker effective handle basso deply recommend headphone love hear base . and headphone make tik tik sound listening base type music .this make listening experience worst frustrated.but overall good can't talk base headset,-0.13333333333333336,0.7111111111111111,-0.13333333333333336,Negative,0
5.0,it's really awesomecharging level awesome,0.6,0.6,0.6,Positive,2
5.0,wonderfulvery good,0.7,0.6000000000000001,0.7,Positive,2
4.0,"average headphone good mic qualityhey purchased headphone mostly microphone online classes. a microphone top priority i tested microphone quite lot bot pc phone music late night study :)pros----very nice microphone , person able hear properly even far device. one thing note pc use ag handsfree calling mode stereo else able listen anything ppl saying. also ag mono channel degrades sound quality u get headphones.but headphone issue bluetooth mess one bother fix.----battery lifebattery life quite good tbh easily last 3 4 day u mostly online class little music listening night :)----connectivityconnectivity pretty solid wall yeah bit struggle considering congested airspace radiowaves blasting connection pretty solid.cons:-----buildbuild cheap hollow , expect cheap feel like toy sturdy , handle care-----sound qualitysound quality average tbh , 50% volume good , u go around 20% 25% headphone start skip beat lower amplitude , dont know unit every time. and wonder listen 20% coz night 20% feel like 60% day coz perceive volume relative volumes/loudness.-----comfortwell bit comfy person soo much comfortable , mean 1hr done take break 5 min , good thing u think ear still",0.25750000000000006,0.5609722222222222,0.25750000000000006,Positive,2
5.0,good qualitybest product best noise cancellation .,0.85,0.45000000000000007,0.85,Positive,2
5.0,"best product in priceawesome product loved , sound quality another level battery backup also good, best product price. but minor problem i play full volume kind vibrating sound annoying.",0.43,0.5350000000000001,0.43,Positive,2
4.0,nice oneit’s good,0.6499999999999999,0.8,0.6499999999999999,Positive,2
3.0,packing good dust inside packing minor scratch n damage. overall product goodpacking worst little scratch n damage product sound good noise better bass better,0.14125000000000001,0.48,0.14125000000000001,Positive,2
5.0,great per priceas per price product total worth,0.3666666666666667,0.5333333333333333,0.3666666666666667,Positive,2
